1,955
2,667
3,90
4,267
5,973
6,193
7,345
8,719
9,894
10,828
11,59
12,716
13,252
14,245
15,73
16,41
17,443
18,526
19,412
20,905
21,254
22,455
23,68
24,230
25,603
26,295
27,274
28,543
29,322
30,985
31,778
32,766
33,262
34,188
35,120
36,885
37,142
38,725
39,36
40,740
41,214
42,31
43,639
44,411
45,289
46,613
47,480
48,580
49,699
50,958
51,690
52,914
53,223
54,742
55,918
56,333
57,220
58,100
59,242
60,493
61,987
62,387
63,147
64,486
65,242
66,251
67,71
68,67
69,339
70,270
71,504
72,309
73,393
74,535
75,902
76,898
77,821
78,970
79,150
80,417
81,54
82,674
83,73
84,756
85,779
86,214
87,734
88,842
89,115
90,535
91,97
92,514
93,839
94,502
95,76
96,629
97,241
98,122
99,767
100,847
