Date,Product,Customer,Quantity,Price,TotalPrice
2022-12-11 09:26:46
2021-01-08 03:04:43
2022-10-20 13:15:38
2023-04-16 15:11:07
2020-08-08 07:21:15
2023-04-25 07:45:25
2022-06-29 05:35:32
2022-09-22 11:55:11
2020-11-07 06:14:05
2020-01-19 18:49:49
2020-07-21 16:24:35
2023-06-28 18:21:42
2021-02-06 17:14:08
2022-08-13 11:18:00
2021-06-27 01:01:01
2020-07-10 18:45:36
2023-07-25 02:32:52
2022-04-06 04:51:08
2023-09-21 07:43:06
2023-03-11 11:15:53
2022-05-08 08:07:46
2022-09-10 01:44:38
2022-03-23 22:32:31
2022-01-26 06:46:32
2023-03-20 21:52:24
2020-01-12 21:09:48
2023-07-12 14:56:46
2023-01-18 15:25:44
2023-03-09 20:50:50
2021-11-04 19:19:28
2022-09-19 12:33:17
2022-08-21 12:28:32
2020-03-05 18:27:53
2022-03-30 09:25:57
2021-02-17 10:42:23
2022-04-28 04:30:20
2020-08-23 16:16:49
2022-02-16 08:13:11
2020-03-01 10:21:29
2021-09-14 17:04:34
2020-04-18 21:18:37
2021-08-05 22:07:29
2022-07-17 19:28:22
2020-09-30 17:06:38
2023-08-11 03:08:25
2023-01-28 21:41:10
2022-01-06 22:15:24
2023-02-04 04:11:49
2023-03-26 01:52:37
2023-02-01 09:51:29
2022-09-05 19:53:51
2022-02-16 20:29:24
2020-10-11 16:50:38
2021-11-16 20:21:37
2023-05-02 07:12:30
2022-02-06 17:31:05
2020-10-08 11:39:35
2022-02-24 01:47:07
2021-01-18 10:47:35
2023-01-13 14:12:57
2020-01-06 08:15:46
2020-07-21 09:50:21
2022-03-11 06:36:11
2023-06-11 06:57:52
2021-12-28 13:16:41
2022-09-17 18:46:56
2020-11-05 16:21:29
2020-04-14 13:31:43
2021-11-01 15:11:50
2021-10-10 10:30:08
2023-03-24 02:19:56
2023-05-13 00:16:57
2021-01-15 06:27:12
2022-10-08 20:29:05
2022-12-21 06:19:54
2021-01-14 10:04:29
2021-04-22 06:18:08
2023-08-17 00:54:05
2020-06-26 14:23:12
2021-06-11 14:02:34
2023-04-16 14:06:34
2021-09-04 13:23:42
2022-10-15 10:50:00
2021-12-04 22:39:20
2022-03-30 23:28:30
2021-06-01 19:16:23
2022-01-25 04:15:15
2021-03-22 19:28:53
2023-09-08 23:03:33
2021-01-04 13:30:07
2022-05-03 22:56:02
2021-04-01 21:21:43
2021-11-27 21:20:55
2020-01-07 14:57:33
2022-03-01 14:58:12
2020-08-12 15:05:51
2021-02-02 12:30:38
2021-10-07 19:29:08
2020-01-05 11:05:58
2023-08-23 14:49:39
